# Enu(MeV) Events/MeV
2.2957 14.012
3.3052 4.0120
4.3756 0
5.3325 0
6.2669 0
7.5503 0
8.3498 0
9.3630 0
10.286 0
11.243 0
12.144 0
13.236 0
14.362 0
15.285 0
16.400 0

