# Enu (MeV) Nevents Nbkg Nbkg_with_ATM limit_on_flux_without_atm (cm^-2 s^-1) limit_on_flux_with_atm (cm^-2 s^-1)
1.8 39 22.4 23.0 1.40e5 1.37e5
2.8 22 21.5 22.2 1.07e4 1.00e4
3.8 24 16.7 17.2 8.39e3 8.13e3
4.8 7 10.9 11.5 6.92e2 7.07e2
5.8 5 5.55 6.10 8.08e2 7.21e2
6.8 4 2.04 2.52 8.29e2 7.68e2
7.8 0 0.28 0.72 2.02e2 1.65e2
8.8 0 0.01 0.44 1.75e2 1.44e2
9.8 0 0.00 0.41 1.40e2 1.17e2
10.8 0 0.00 0.39 11.4e1 9.59e1
11.8 0 0.00 0.35 9.50e1 8.12e1
12.8 0 0.00 0.32 8.05e1 7.01e1
13.8 0 0.00 0.31 6.91e1 6.03e1
14.8 0 0.00 0.27 6.00e1 5.34e1
15.8 0 0.00 0.24 5.27e1 4.74e1
