# Enu(MeV) Events/MeV
2.2574 8.2934
3.3590 17.485
4.4287 16.677
5.3305 10.988
6.2772 5.6287
7.4375 2.0958
8.5186 0.35928
9.3068 0
10.298 0
11.367 0
12.245 0
13.315 0
14.328 0
15.296 0
16.298 0

