# GLoBES neutrino oscillation simulation
# --------------------------------------
#
# Run started on Thu Oct 17 21:09:58 2019
#
# Command line:   ./nu -f 4 -a PARAM_SCAN --no-ih -t M4_GAMMA=1,MA_OVER_M4=0.9, -p DM41,3.,6.,15,LOGSCALE -p Ue4,0.,0.3,30 -p Um4,0.,0.2,20 -e E776 -e ICARUS-2014 -e OPERA -e LSND_IVAN -e KARMEN_IVAN -e MB_JK -e DECAY_KINEMATICS -e FREE_STREAMING 
#
# NU_RANK and/or NU_SIZE not defined. Assuming no parallelization.
# Using NuSQuIDS probability engine. Majorana=0
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Using 4 flavor model
# Simulating the following experiments:
#   E776
#   ICARUS-2014
#   OPERA
#   LSND_IVAN
#   KARMEN_IVAN
#   MB_JK
#   DECAY_KINEMATICS
#   FREE_STREAMING
# Including the following AEDL files:
#   E776.glb (version 3.0.0)
#   icarus-2014.glb (version 3.0.0)
#   opera.glb (version 3.0.0)
#
# AEDL variables:
#
# External analysis routines included:
#   LSND (Ivan's code)
#   KARMEN (Ivan's code)
#   MiniBooNE (Joachim's code)
#   Beta decay kinematics
#   Cosmology (free-streaming constraint)
#
# True oscillation parameters (only nonzero params shown):
#   TH12 = 0.58678
#   TH13 = 0.149051
#   TH23 = 0.823795
#   DELTA_0 = 4.71239
#   DM21 = 7.4e-05
#   DM31 = 0.002494
#   MA_OVER_M4 = 0.9
#   M4_GAMMA = 1
# External priors:
#
# Miscellaneous options:
#   Constraint \eps^s = \eps^{d\dag}: NO
#   New reactor fluxes (1101.2663):   YES
#
# Parameter scan:
#         DM41,          3,          6,    15  0x1
#          Ue4,          0,        0.3,    30  0x0
#          Um4,          0,        0.2,    20  0x0
# Marginalizing over:
#   
# Prescan for degeneracy finding:
# Degfinder flags: 0x2
#
# Initializing ICARUS code, Neutrino 2014 version ...
#   Signal      normalization: 15.522
#   BG \nu_e    normalization: 10.3358
#   BG \nu_\tau normalization: 2.22053
# Initializing Ivan's LSND code ...
# Initializing Ivan's KARMEN code ...
# Initializing external constraints code (beta decay/cosmo) ...
# Initializing Joachim's MiniBooNE code ...
# Flags in Joachim's MiniBooNE code: OSC_BG OSC_NORM OSC_NUMU 
# General parameter scan
#
#                  DM41             Ue4             Um4       chi2_NH          chi2_IH
                      3            0.02            0.09     858489699.3           1e+50
                      3            0.02             0.1      2445067174           1e+50
                      3            0.02            0.11      5817983171           1e+50
                      3            0.02            0.12 1.215210078e+10           1e+50
                      3            0.02            0.13  2.30113958e+10           1e+50
                      3            0.02            0.14 4.038445631e+10           1e+50
                      3            0.02            0.15 6.671821616e+10           1e+50
                      3            0.02            0.16 1.049518587e+11           1e+50
                      3            0.02            0.17 1.585522871e+11           1e+50
                      3            0.02            0.18  2.31552215e+11           1e+50
                      3            0.02            0.19 3.285917302e+11           1e+50
                      3            0.02             0.2  4.54964075e+11           1e+50
                      3            0.03               0 5.579884082e+11           1e+50
                      3            0.03            0.01 1.210097151e+11           1e+50
                      3            0.03            0.02 1.514840725e+10           1e+50
                      3            0.03            0.03      1220471266           1e+50
                      3            0.03            0.04        65022386           1e+50
                      3            0.03            0.05     2535575.631           1e+50
                      3            0.03            0.06     213353.3576           1e+50
                      3            0.03            0.07       337964.08           1e+50
                      3            0.03            0.08     2865474.027           1e+50
                      3            0.03            0.09     21835788.31           1e+50
                      3            0.03             0.1     112479604.5           1e+50
                      3            0.03            0.11     420056109.5           1e+50
                      3            0.03            0.12      1239010549           1e+50
                      3            0.03            0.13      3073035307           1e+50
                      3            0.03            0.14      6691352301           1e+50
                      3            0.03            0.15 1.318017338e+10           1e+50
                      3            0.03            0.16  2.39901135e+10           1e+50
                      3            0.03            0.17 4.098098494e+10           1e+50
                      3            0.03            0.18 6.646549792e+10           1e+50
                      3            0.03            0.19 1.032532803e+11           1e+50
                      3            0.03             0.2 1.546964689e+11           1e+50
                      3            0.04               0 1.765992669e+12           1e+50
                      3            0.04            0.01 5.934899327e+11           1e+50
                      3            0.04            0.02 1.437646749e+11           1e+50
                      3            0.04            0.03 2.647334661e+10           1e+50
                      3            0.04            0.04      3840620577           1e+50
                      3            0.04            0.05       440716628           1e+50
                      3            0.04            0.06      40518316.1           1e+50
                      3            0.04            0.07     3597547.499           1e+50
                      3            0.04            0.08     665846.1117           1e+50
                      3            0.04            0.09     740378.0504           1e+50
                      3            0.04             0.1     3100608.731           1e+50
                      3            0.04            0.11     16449041.02           1e+50
                      3            0.04            0.12     73222140.87           1e+50
                      3            0.04            0.13     259856682.7           1e+50
                      3            0.04            0.14     759162517.7           1e+50
                      3            0.04            0.15      1899805126           1e+50
                      3            0.04            0.16      4208603598           1e+50
                      3            0.04            0.17      8463079553           1e+50
                      3            0.04            0.18  1.57432236e+10           1e+50
                      3            0.04            0.19 2.748246111e+10           1e+50
                      3            0.04             0.2 4.551837364e+10           1e+50
                      3            0.05               0 4.319289209e+12           1e+50
                      3            0.05            0.01 1.855092083e+12           1e+50
                      3            0.05            0.02  6.41898209e+11           1e+50
                      3            0.05            0.03 1.837192784e+11           1e+50
                      3            0.05            0.04 4.463752942e+10           1e+50
                      3            0.05            0.05      9324268115           1e+50
                      3            0.05            0.06      1673946880           1e+50
                      3            0.05            0.07     258489139.9           1e+50
                      3            0.05            0.08     35936849.25           1e+50
                      3            0.05            0.09      5529451.94           1e+50
                      3            0.05             0.1     1602495.177           1e+50
                      3            0.05            0.11      1555138.61           1e+50
                      3            0.05            0.12     4150334.633           1e+50
                      3            0.05            0.13     15855729.33           1e+50
                      3            0.05            0.14     59227278.68           1e+50
                      3            0.05            0.15     192967111.5           1e+50
                      3            0.05            0.16     542503112.3           1e+50
                      3            0.05            0.17      1339066170           1e+50
                      3            0.05            0.18      2964667687           1e+50
                      3            0.05            0.19      6000782239           1e+50
                      3            0.05             0.2 1.127931471e+10           1e+50
                      3            0.06               0 8.976264462e+12           1e+50
                      3            0.06            0.01 4.505864742e+12           1e+50
                      3            0.06            0.02 1.941324167e+12           1e+50
                      3            0.06            0.03 7.278718281e+11           1e+50
                      3            0.06            0.04 2.414947021e+11           1e+50
                      3            0.06            0.05 7.177544602e+10           1e+50
                      3            0.06            0.06 1.920264764e+10           1e+50
                      3            0.06            0.07      4618827353           1e+50
                      3            0.06            0.08     997584938.3           1e+50
                      3            0.06            0.09     196211344.2           1e+50
                      3            0.06             0.1     37558235.79           1e+50
                      3            0.06            0.11     8478137.737           1e+50
                      3            0.06            0.12     3268823.084           1e+50
                      3            0.06            0.13     3019756.037           1e+50
                      3            0.06            0.14     6076985.845           1e+50
                      3            0.06            0.15     17826328.15           1e+50
                      3            0.06            0.16     56048783.27           1e+50
                      3            0.06            0.17     165225826.3           1e+50
                      3            0.06            0.18     439524654.8           1e+50
                      3            0.06            0.19      1053946644           1e+50
                      3            0.06             0.2      2302407323           1e+50
